date,fd_offset,division,lineage,count
2021-10-05,-88,Massachusetts,21A,5
2021-12-14,-18,Delaware,21J,16
2021-11-15,-47,Maryland,21A,1
2021-12-15,-17,North Dakota,21K,1
2021-10-21,-72,Nevada,21J,65
2021-10-17,-76,Florida,21I,5
2021-10-17,-76,New Hampshire,other,1
2021-10-11,-82,Pennsylvania,21I,9
2021-12-10,-22,Tennessee,21J,45
2021-11-25,-37,Wyoming,21J,1
2021-11-27,-35,Arkansas,21J,7
2021-11-24,-38,New York,21I,3
2021-11-05,-57,Maryland,other,2
2021-10-07,-86,Vermont,21J,110
2021-10-21,-72,Florida,other,3
2021-10-25,-68,Connecticut,21I,1
2021-10-07,-86,Illinois,21I,5
2021-12-06,-26,Texas,21I,1
2021-10-11,-82,Maryland,21I,12
2021-11-06,-56,Delaware,21J,11
2021-12-10,-22,North Carolina,21J,45
2021-10-27,-66,Georgia,21I,3
2021-12-14,-18,New York,other,3
2021-11-01,-61,California,21I,48
2021-11-17,-45,Georgia,21I,2
2021-12-14,-18,Tennessee,21K,11
2021-11-13,-49,Utah,21J,27
2021-12-07,-25,Florida,21I,1
2021-10-30,-63,Iowa,21J,28
2021-11-04,-58,Ohio,other,2
2021-12-17,-15,Florida,21J,24
2021-10-09,-84,Minnesota,21A,3
2021-10-16,-77,Indiana,21J,74
2021-10-04,-89,Georgia,21J,157
2021-11-12,-50,New York,other,1
2021-10-27,-66,Texas,21A,2
2021-11-27,-35,Hawaii,21I,1
2021-11-30,-32,Kansas,21I,1
2021-10-16,-77,Texas,21I,19
2021-10-03,-90,Wisconsin,21I,15
2021-11-23,-39,Connecticut,21J,48
2021-11-21,-41,Delaware,other,1
2021-12-07,-25,Arizona,21I,1
2021-10-05,-88,California,other,3
2021-10-18,-75,Colorado,other,3
2021-12-12,-20,Michigan,21K,2
2021-10-05,-88,Michigan,21I,18
2021-11-23,-39,New Mexico,other,1
2021-10-07,-86,Minnesota,21A,1
2021-11-10,-52,Ohio,other,1
2021-10-21,-72,Oklahoma,21J,41
2021-11-11,-51,Pennsylvania,other,3
2021-11-09,-53,North Dakota,21J,7
2021-11-11,-51,Indiana,21I,9
2021-12-02,-30,Wisconsin,21J,37
2021-10-23,-70,New Jersey,21J,116
2021-10-18,-75,Idaho,21I,4
2021-11-01,-61,Arkansas,21J,27
2021-10-26,-67,Arizona,21A,2
2021-12-20,-12,New Hampshire,21J,2
2021-11-22,-40,Nevada,21I,2
2021-10-25,-68,Pennsylvania,21A,4
2021-10-16,-77,Pennsylvania,21I,12
2021-10-15,-78,Vermont,21J,85
2021-10-16,-77,Massachusetts,21I,8
2021-11-24,-38,Minnesota,21I,14
2021-10-18,-75,Virginia,other,1
2021-10-21,-72,North Carolina,21I,6
2021-11-15,-47,Tennessee,21J,52
2021-10-17,-76,California,21I,5
2021-11-26,-36,Colorado,21A,7
2021-11-29,-33,Indiana,21J,127
2021-11-26,-36,West Virginia,21I,3
2021-11-07,-55,Delaware,21J,3
2021-10-16,-77,Florida,21A,2
2021-12-09,-23,New York,21I,2
2021-10-14,-79,Vermont,21J,139
2021-10-21,-72,New Mexico,21I,10
2021-10-18,-75,Louisiana,21I,3
2021-12-14,-18,Michigan,other,3
2021-10-12,-81,Pennsylvania,21J,146
2021-11-04,-58,Tennessee,21I,4
2021-12-15,-17,Maryland,21J,27
2021-11-15,-47,Alaska,21J,27
2021-10-19,-74,West Virginia,21I,11
2021-11-12,-50,Florida,21I,1
2021-12-02,-30,Missouri,21J,39
2021-11-01,-61,North Carolina,21I,3
2021-11-01,-61,Alaska,21A,1
2021-12-20,-12,California,other,1
2021-11-19,-43,Wyoming,21A,1
2021-11-18,-44,Massachusetts,other,1
2021-11-03,-59,Florida,21J,121
2021-11-09,-53,Washington,21I,3
2021-11-11,-51,Indiana,21A,1
2021-12-11,-21,Connecticut,21I,1
2021-10-20,-73,Missouri,21I,1
2021-10-13,-80,Washington,21I,4
2021-11-18,-44,California,21J,650
2021-11-24,-38,Montana,21J,17
2021-10-17,-76,Georgia,21J,49
2021-12-14,-18,Illinois,other,5
2021-11-13,-49,Kansas,21I,2
2021-12-07,-25,Massachusetts,21I,14
2021-11-17,-45,Maine,21J,0
2021-11-17,-45,Tennessee,other,2
2021-10-17,-76,West Virginia,21A,2
2021-10-25,-68,Illinois,21I,4
2021-10-16,-77,Ohio,21I,5
2021-11-05,-57,Illinois,other,2
2021-11-14,-48,Minnesota,21J,104
2021-10-28,-65,Indiana,other,1
2021-10-12,-81,Utah,21I,2
2021-11-05,-57,Connecticut,21J,92
2021-11-12,-50,Illinois,other,3
2021-11-26,-36,Delaware,21J,18
2021-11-28,-34,Utah,21J,21
2021-10-31,-62,Massachusetts,21J,277
2021-10-27,-66,Texas,other,3
2021-10-09,-84,Nevada,21J,44
2021-10-05,-88,West Virginia,21J,168
2021-11-04,-58,Florida,21I,4
2021-12-10,-22,Puerto Rico,21J,3
2021-12-13,-19,Florida,21K,57
2021-12-04,-28,Delaware,21J,7
2021-12-05,-27,Michigan,21J,122
2021-12-16,-16,North Carolina,21J,26
2021-11-04,-58,Maine,21J,0
2021-11-08,-54,Delaware,21J,13
2021-12-06,-26,Illinois,21I,1
2021-10-27,-66,New Jersey,21I,6
2021-10-05,-88,Utah,21J,56
2021-10-23,-70,Florida,21I,6
2021-10-05,-88,Tennessee,21J,255
2021-10-31,-62,Kansas,21J,36
2021-10-13,-80,Connecticut,21A,1
2021-11-02,-60,Wyoming,other,1
2021-10-27,-66,Arizona,21I,10
2021-12-09,-23,Arkansas,21J,10
2021-11-23,-39,Delaware,other,1
2021-10-20,-73,Alabama,21J,14
2021-11-03,-59,Illinois,21I,4
2021-10-16,-77,Rhode Island,21I,3
2021-12-02,-30,Massachusetts,21A,5
2021-12-05,-27,Georgia,other,1
2021-10-14,-79,Maryland,other,1
2021-11-18,-44,South Carolina,21I,1
2021-11-09,-53,Wyoming,21J,14
2021-10-06,-87,Tennessee,other,1
2021-11-24,-38,Virginia,21I,1
2021-10-19,-74,Massachusetts,21I,14
2021-12-02,-30,Louisiana,21J,19
2021-11-14,-48,Hawaii,21J,1
2021-10-17,-76,Arizona,21J,78
2021-11-05,-57,Kansas,other,1
2021-11-09,-53,Oregon,21I,1
2021-10-21,-72,Illinois,21J,161
2021-11-04,-58,Kansas,21I,5
2021-11-13,-49,Louisiana,21J,14
2021-11-18,-44,Utah,21I,1
2021-10-30,-63,California,21A,8
2021-12-15,-17,Virginia,21I,2
2021-11-11,-51,Florida,21I,5
2021-12-17,-15,New Jersey,21I,2
2021-10-23,-70,New Mexico,21I,2
2021-10-24,-69,Nevada,21J,25
2021-10-23,-70,Utah,21I,1
2021-10-25,-68,Michigan,21I,16
2021-10-24,-69,Idaho,21I,2
2021-11-29,-33,Georgia,21I,7
2021-12-09,-23,Michigan,21I,4
2021-10-31,-62,New York,21J,77
2021-10-04,-89,Massachusetts,21A,6
2021-11-12,-50,Utah,21A,1
2021-12-05,-27,Utah,21J,7
2021-11-30,-32,Virginia,21J,78
2021-10-31,-62,Connecticut,21I,1
2021-11-11,-51,Delaware,21J,17
2021-12-07,-25,Pennsylvania,21I,3
2021-12-09,-23,Illinois,21I,2
2021-11-24,-38,New Jersey,21I,2
2021-12-01,-31,New Jersey,21A,1
2021-10-28,-65,New Mexico,21I,8
2021-10-16,-77,Washington DC,21I,1
2021-11-03,-59,Georgia,21I,5
2021-11-27,-35,Vermont,21J,104
2021-10-13,-80,Texas,21I,12
2021-12-14,-18,California,21J,618
2021-10-22,-71,Virginia,21I,7
2021-11-29,-33,Montana,21J,9
2021-10-09,-84,Illinois,21J,138
2021-12-08,-24,Florida,21K,32
2021-11-20,-42,Texas,other,2
2021-12-18,-14,California,21J,370
2021-10-08,-85,Alabama,21I,1
2021-12-10,-22,Louisiana,21K,11
2021-11-13,-49,Nevada,other,1
2021-11-12,-50,Washington,21J,66
2021-11-29,-33,Virginia,21A,1
2021-11-30,-32,New York,21K,3
2021-11-15,-47,Virginia,21J,72
2021-12-07,-25,Utah,21A,1
2021-10-05,-88,Montana,21I,5
2021-11-02,-60,Pennsylvania,21I,8
